Date,Platform,Sentiment,Location,Engagements,Media_Type,Influencer_Brand,Post_Type
2023-12-21,YouTube,Positive,Medan,19689,Video,@genzfoodie | Brewberry,Behind the Scenes
2023-12-16,YouTube,Positive,Surabaya,7059,Image,@drinkculture | Brewberry,Collab
2023-12-17,TikTok,Positive,Jakarta,4440,Image,@snackattack | Brewberry,Product Launch
2023-12-07,Instagram,Positive,Yogyakarta,18996,Image,@genzfoodie | Brewberry,Behind the Scenes
2023-12-22,Instagram,Positive,Surabaya,3439,Text,@kulinerhits | Brewberry,Product Launch
2023-12-07,TikTok,Positive,Makassar,309,Carousel,@kulinerhits | Brewberry,Promo
2023-12-27,YouTube,Positive,Yogyakarta,9893,Image,@tastebuds.id | Brewberry,Product Launch
2023-12-05,Instagram,Negative,Jakarta,8834,Carousel,@drinkculture | Brewberry,Product Launch
2023-12-13,TikTok,Positive,Medan,4723,Image,@genzfoodie | Brewberry,Behind the Scenes
2023-12-08,YouTube,Negative,Bandung,4860,Text,@tastebuds.id | Brewberry,Product Launch
2023-12-24,YouTube,Positive,Bandung,15461,Image,@drinkculture | Brewberry,Promo
2023-12-25,X/Twitter,Negative,Yogyakarta,9433,Video,@snackattack | Brewberry,Review
2023-12-05,YouTube,Negative,Medan,11822,Image,@snackattack | Brewberry,Collab
2023-12-05,X/Twitter,Positive,Medan,15940,Video,@snackattack | Brewberry,Promo
2023-12-22,X/Twitter,Neutral,Surabaya,8722,Carousel,@genzfoodie | Brewberry,Behind the Scenes
2023-12-27,X/Twitter,Positive,Surabaya,13739,Image,@snackattack | Brewberry,Product Launch
2023-12-08,X/Twitter,Neutral,Yogyakarta,4854,Video,@snackattack | Brewberry,Behind the Scenes
2023-12-18,X/Twitter,Positive,Yogyakarta,872,Image,@drinkculture | Brewberry,Collab
2023-12-07,TikTok,Neutral,Makassar,3258,Carousel,@drinkculture | Brewberry,Promo
2023-12-20,Instagram,Positive,Bandung,19488,Image,@kulinerhits | Brewberry,Collab
2023-12-21,X/Twitter,Positive,Yogyakarta,5977,Carousel,@kulinerhits | Brewberry,Promo
2023-12-17,TikTok,Positive,Denpasar,1546,Carousel,@genzfoodie | Brewberry,Collab
2023-12-04,X/Twitter,Positive,Makassar,15334,Text,@snackattack | Brewberry,Product Launch
2023-12-14,TikTok,Positive,Denpasar,9910,Video,@snackattack | Brewberry,Promo
2023-12-26,YouTube,Neutral,Yogyakarta,12859,Video,@drinkculture | Brewberry,Promo
2023-12-04,TikTok,Neutral,Medan,10615,Text,@kulinerhits | Brewberry,Promo
2023-12-21,TikTok,Neutral,Surabaya,14779,Text,@snackattack | Brewberry,Promo
2023-12-08,YouTube,Positive,Denpasar,18962,Carousel,@tastebuds.id | Brewberry,Review
2023-12-28,X/Twitter,Neutral,Bandung,5561,Carousel,@snackattack | Brewberry,Collab
2023-12-04,YouTube,Positive,Yogyakarta,12860,Text,@drinkculture | Brewberry,Promo
2023-12-13,TikTok,Positive,Surabaya,1697,Text,@snackattack | Brewberry,Review
2023-12-05,YouTube,Neutral,Makassar,10333,Video,@drinkculture | Brewberry,Product Launch
2023-12-13,TikTok,Positive,Medan,5328,Video,@tastebuds.id | Brewberry,Product Launch
2023-12-15,Instagram,Positive,Bandung,8124,Carousel,@genzfoodie | Brewberry,Review
2023-12-27,TikTok,Positive,Bandung,9463,Video,@drinkculture | Brewberry,Behind the Scenes
2023-12-17,Instagram,Positive,Denpasar,10281,Carousel,@tastebuds.id | Brewberry,Collab
2023-12-18,YouTube,Negative,Surabaya,17655,Video,@snackattack | Brewberry,Review
2023-12-22,YouTube,Positive,Surabaya,7597,Image,@genzfoodie | Brewberry,Promo
2023-12-17,TikTok,Neutral,Denpasar,9616,Text,@tastebuds.id | Brewberry,Promo
2023-12-25,X/Twitter,Negative,Jakarta,1015,Video,@drinkculture | Brewberry,Collab
2023-12-29,X/Twitter,Positive,Bandung,12789,Image,@genzfoodie | Brewberry,Behind the Scenes
2023-12-05,X/Twitter,Negative,Medan,8418,Video,@kulinerhits | Brewberry,Product Launch
2023-12-03,YouTube,Positive,Medan,12442,Image,@genzfoodie | Brewberry,Promo
2023-12-06,X/Twitter,Positive,Yogyakarta,19435,Carousel,@genzfoodie | Brewberry,Review
2023-12-08,Instagram,Positive,Denpasar,4010,Text,@drinkculture | Brewberry,Collab
2023-12-02,TikTok,Neutral,Medan,4661,Video,@genzfoodie | Brewberry,Review
2023-12-13,YouTube,Positive,Denpasar,4866,Text,@genzfoodie | Brewberry,Behind the Scenes
2023-12-22,TikTok,Positive,Surabaya,3480,Carousel,@tastebuds.id | Brewberry,Product Launch
2023-12-30,Instagram,Positive,Jakarta,7867,Video,@drinkculture | Brewberry,Collab
2023-12-31,YouTube,Positive,Bandung,12514,Video,@drinkculture | Brewberry,Promo
2023-12-13,TikTok,Positive,Medan,7795,Video,@drinkculture | Brewberry,Behind the Scenes
2023-12-24,X/Twitter,Positive,Jakarta,2701,Image,@kulinerhits | Brewberry,Behind the Scenes
2023-12-06,YouTube,Positive,Jakarta,7815,Carousel,@drinkculture | Brewberry,Behind the Scenes
2023-12-27,Instagram,Positive,Makassar,6466,Text,@tastebuds.id | Brewberry,Product Launch
2023-12-05,Instagram,Neutral,Makassar,9794,Image,@snackattack | Brewberry,Review
2023-12-02,Instagram,Positive,Yogyakarta,11657,Carousel,@drinkculture | Brewberry,Promo
2023-12-30,Instagram,Neutral,Bandung,3873,Video,@tastebuds.id | Brewberry,Review
2023-12-17,YouTube,Neutral,Jakarta,16912,Carousel,@tastebuds.id | Brewberry,Promo
2023-12-14,X/Twitter,Negative,Denpasar,18603,Carousel,@snackattack | Brewberry,Behind the Scenes
2023-12-25,TikTok,Positive,Makassar,14367,Image,@kulinerhits | Brewberry,Review
2023-12-12,X/Twitter,Positive,Jakarta,14076,Image,@snackattack | Brewberry,Review
2023-12-19,TikTok,Positive,Medan,6965,Video,@snackattack | Brewberry,Collab
2023-12-15,Instagram,Positive,Medan,16463,Text,@snackattack | Brewberry,Collab
2023-12-04,X/Twitter,Positive,Jakarta,9108,Video,@drinkculture | Brewberry,Behind the Scenes
2023-12-20,Instagram,Negative,Medan,3399,Video,@genzfoodie | Brewberry,Product Launch
2023-12-19,X/Twitter,Neutral,Medan,17482,Carousel,@drinkculture | Brewberry,Product Launch
2023-12-02,X/Twitter,Neutral,Medan,9548,Carousel,@tastebuds.id | Brewberry,Promo
2023-12-24,TikTok,Positive,Jakarta,11390,Video,@genzfoodie | Brewberry,Review
2023-12-23,TikTok,Neutral,Denpasar,8912,Carousel,@drinkculture | Brewberry,Product Launch
2023-12-08,YouTube,Positive,Medan,10507,Image,@tastebuds.id | Brewberry,Promo
2023-12-06,Instagram,Positive,Surabaya,2050,Image,@genzfoodie | Brewberry,Collab
2023-12-26,Instagram,Negative,Bandung,15076,Carousel,@kulinerhits | Brewberry,Promo
2023-12-05,TikTok,Positive,Bandung,7721,Carousel,@snackattack | Brewberry,Promo
2023-12-27,Instagram,Positive,Yogyakarta,18890,Image,@drinkculture | Brewberry,Promo
2023-12-14,X/Twitter,Neutral,Denpasar,13980,Text,@kulinerhits | Brewberry,Behind the Scenes
2023-12-01,X/Twitter,Negative,Medan,11501,Carousel,@kulinerhits | Brewberry,Product Launch
2023-12-24,TikTok,Positive,Makassar,2670,Image,@snackattack | Brewberry,Promo
2023-12-20,Instagram,Neutral,Surabaya,5096,Carousel,@drinkculture | Brewberry,Promo
2023-12-19,X/Twitter,Neutral,Makassar,17533,Video,@genzfoodie | Brewberry,Review
2023-12-04,YouTube,Positive,Jakarta,19186,Image,@kulinerhits | Brewberry,Product Launch
2023-12-22,X/Twitter,Neutral,Bandung,12869,Carousel,@snackattack | Brewberry,Collab
2023-12-09,Instagram,Positive,Yogyakarta,6561,Video,@kulinerhits | Brewberry,Product Launch
2023-12-03,X/Twitter,Neutral,Makassar,15440,Image,@tastebuds.id | Brewberry,Collab
2023-12-07,TikTok,Positive,Makassar,9109,Image,@snackattack | Brewberry,Promo
2023-12-27,X/Twitter,Positive,Yogyakarta,6850,Image,@tastebuds.id | Brewberry,Product Launch
2023-12-05,Instagram,Neutral,Medan,6520,Video,@snackattack | Brewberry,Promo
2023-12-07,YouTube,Positive,Denpasar,15459,Image,@kulinerhits | Brewberry,Promo
2023-12-06,X/Twitter,Positive,Bandung,19036,Text,@genzfoodie | Brewberry,Product Launch
2023-12-03,TikTok,Positive,Denpasar,15512,Text,@genzfoodie | Brewberry,Behind the Scenes
2023-12-18,TikTok,Positive,Medan,19706,Image,@drinkculture | Brewberry,Promo
2023-12-04,Instagram,Neutral,Medan,4664,Video,@tastebuds.id | Brewberry,Product Launch
2023-12-26,TikTok,Positive,Jakarta,1324,Text,@tastebuds.id | Brewberry,Review
2023-12-11,TikTok,Positive,Medan,9896,Text,@tastebuds.id | Brewberry,Promo
2023-12-27,YouTube,Neutral,Makassar,8998,Carousel,@genzfoodie | Brewberry,Collab
2023-12-09,YouTube,Positive,Denpasar,7217,Image,@tastebuds.id | Brewberry,Behind the Scenes
2023-12-21,TikTok,Positive,Yogyakarta,19355,Carousel,@kulinerhits | Brewberry,Collab
2023-12-21,X/Twitter,Positive,Makassar,15992,Text,@kulinerhits | Brewberry,Product Launch
2023-12-13,X/Twitter,Positive,Medan,19451,Carousel,@genzfoodie | Brewberry,Product Launch
